Id,SalePrice
1461,120140.83007720987
1462,166999.2474696202
1463,184341.02278184652
1464,196181.1521781317
1465,214073.98245398985
1466,178928.30470504088
1467,180594.77065386434
1468,169225.15951638028
1469,204944.42558506428
1470,118350.38437014562
1471,207375.51738594385
1472,107462.58860905872
1473,103946.14312364592
1474,167329.95535560854
1475,122066.12775853858
1476,363959.5066879764
1477,247048.24554209848
1478,328612.8122742787
1479,313133.0755761412
1480,456001.3343573627
1481,290332.94333010033
1482,223561.21566966406
1483,184296.19570121024
1484,171861.93570330134
1485,199946.9358490835
1486,204569.71175218857
1487,350258.03070063435
1488,213529.42709433273
1489,189768.58707934947
1490,239321.53645806643
1491,196279.7175350194
1492,103523.98640175124
1493,204414.66416334722
1494,334647.9333031791
1495,318515.94416244735
1496,249967.4266913825
1497,173159.127807446
1498,162620.50717938098
1499,165978.3302855337
1500,153914.25501725762
1501,192769.5431959071
1502,163894.5301709859
1503,284714.76148063474
1504,231762.20082485292
1505,214629.89028878286
1506,185698.70566197863
1507,244327.2050924417
1508,210657.61120049382
1509,157389.90460435883
1510,145133.55386788555
1511,145565.36192327098
1512,167829.6184628181
1513,156243.62671141274
1514,175407.1614352355
1515,183907.0182272564
1516,168142.30370809764
1517,185126.50668607172
1518,149093.49513568854
1519,215928.18994241144
1520,128783.26831109016
1521,135169.34568288262
1522,177034.2297318938
1523,106814.5172214305
1524,105893.32100758883
1525,117851.42630349436
1526,121315.60871141426
1527,90013.3320893412
1528,144240.5337375849
1529,143463.15394247643
1530,201627.1942900067
1531,127008.7663080571
1532,91606.69739699391
1533,138281.89951815037
1534,122602.2421837539
1535,165045.21030536309
1536,102099.9975961145
1537,70099.3422853126
1538,166617.16232038065
1539,199868.42864243934
1540,144040.2712800715
1541,141676.61238712288
1542,150078.9658502602
1543,204510.91484918335
1544,79110.28283686543
1545,113607.29244086734
1546,141380.3161118872
1547,146275.27041061336
1548,133427.67187407415
1549,125642.48254031112
1550,146128.16747973114
1551,123816.2597828394
1552,153413.83722267704
1553,147702.9337254017
1554,111846.4782300593
1555,169724.9579400434
1556,119108.23846793728
1557,116434.46197161189
1558,130729.77346081575
1559,118436.40210500882
1560,171460.90340998955
1561,123680.54969209395
1562,128145.06832681838
1563,126207.60887610263
